################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         36   4.4394969089132860E-06   3.8778828013355243E-01   2.9986687811678948E-02   3.0696586254390725E-02
         2         37   4.2854589151498168E-03   2.3191780970748674E-01   4.5131244793136141E-02   1.8844781050835861E-02
         2         38   1.6532139574473859E-03   9.5778535633428008E-01   1.3651542521936336E-01   8.7579954359483334E-02
         2         39   1.8584324641057144E-02   3.5070453110346822E-01   7.0390458431272881E-02   2.8143614116891962E-02
         2         40   1.0741285503191509E-05   2.1890215813175917E-01   1.8792495162924833E-02   1.6481218618491882E-02
         2         41   2.9629567645420830E-10   3.8316975708452418E-02   1.6178461812445771E-03   2.2061012718867382E-03
         2         42   9.6087376854134716E-03   6.1861650431783954E-01   9.3630895886713930E-02   5.4272238319499184E-02
         2         43   7.7669427951107959E-05   6.8671864902186452E-01   8.0608842684904355E-02   5.7083464903308880E-02
         2         44   9.7267618763145238E-09   9.9862956499047612E-02   4.6613907414739374E-03   6.1961887558709058E-03
         2         45   6.0179944940570917E-03   9.7169881007007519E-02   2.1222957345591539E-02   6.3330317855940397E-03
         2         46   4.0196568302673357E-03   1.4639204745093939E-01   1.9590442785073586E-02   9.9174985612268136E-03
