################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.9685022683016376E-02 a       170     0     6     1    20
  4.5671824235247777E-01 a       171     0     6     1    21
  3.3364200042934083E-01 a       172     0     6     1    22
 -2.5285485817827935E-01 a       173     0     6     1    23
 -7.2380555635863930E-01 a       174     0     6     1    24
 -3.4540574726995432E-01 a       175     0     6     1    25
  2.1872896722317681E-01 a       176     0     6     1    26
 -1.8742809466123445E-01 a       177     0     6     1    27
  3.6799504706507263E-01 a       178     0     6     1    28
  1.1314286868130842E-01 a       179     0     6     1    29
 -5.5579470591518609E-01 a       180     0     6     1    30
 -4.2984686078785117E-01 a       181     0     7     1     1
  4.4859825869501041E-01 a       182     0     7     1     2
 -1.1463773264079632E-01 a       183     0     7     1     3
 -4.2459229472129884E-01 a       184     0     7     1     4
 -3.0462715714937121E-02 a       185     0     7     1     5
  1.6100833566092404E-01 a       186     0     7     1     6
  1.0219328803481718E-01 a       187     0     7     1     7
  1.5822578507660151E-01 a       188     0     7     1     8
  5.0591262032218164E-02 a       189     0     7     1     9
  8.5032119075327273E-01 a       190     0     7     1    10
  3.3555369956281506E-01 a       191     0     7     1    11
  1.8777963154904265E-01 a       192     0     7     1    12
 -5.3689415215426813E-02 a       193     0     7     1    13
 -9.7556258852178140E-02 a       194     0     7     1    14
  6.3261173239847945E-01 a       195     0     7     1    15
 -1.2140686176364875E-01 a       196     0     7     1    16
  2.9952291916525331E-01 a       197     0     7     1    17
  4.1773508849405244E-01 a       198     0     7     1    18
  2.1317706566204703E-01 a       199     0     7     1    19
 -2.4399271878973391E-01 a       200     0     7     1    20
 -4.8030991144182583E-01 a       201     0     7     1    21
  1.5997991172359755E-01 a       202     0     7     1    22
  7.8369932650492657E-01 a       203     0     7     1    23
 -6.7669084053721484E-01 a       204     0     7     1    24
  1.0146401030161347E-02 a       205     0     7     1    25
  4.8899773042257433E-01 a       206     0     7     1    26
 -6.5321888486845975E-02 a       207     0     7     1    27
 -2.2971517532356658E-01 a       208     0     7     1    28
 -1.1262814815198162E-01 a       209     0     7     1    29
 -1.2201397964052238E-02 a       210     0     7     1    30
  1.4980553850372636E-02 a       211     0     8     1     1
 -3.4560259965356555E-02 a       212     0     8     1     2
  1.1681034762139131E-01 a       213     0     8     1     3
  1.8925794150483736E-02 a       214     0     8     1     4
  9.1631997055101319E-02 a       215     0     8     1     5
 -1.7290776396319466E-01 a       216     0     8     1     6
 -1.2096640024535315E-02 a       217     0     8     1     7
 -7.8884045855642759E-01 a       218     0     8     1     8
  8.0444298152909133E-01 a       219     0     8     1     9
 -9.6407434066892250E-01 a       220     0     8     1    10
  8.3280570479762686E-02 a       221     0     8     1    11
 -5.9155679838938224E-01 a       222     0     8     1    12
  1.1920735923113985E+00 a       223     0     8     1    13
  4.8573362679205001E-01 a       224     0     8     1    14
 -4.5729500353045405E-01 a       225     0     8     1    15
 -5.9860781151945897E-01 a       226     0     8     1    16
 -7.4208984898329933E-01 a       227     0     8     1    17
  2.3763465071397114E-01 a       228     0     8     1    18
  1.7887385648906998E-01 a       229     0     8     1    19
 -3.6652854422957948E-01 a       230     0     8     1    20
  1.7224202427640600E-01 a       231     0     8     1    21
 -5.7915742738029397E-01 a       232     0     8     1    22
 -3.6605625858750790E-01 a       233     0     8     1    23
  7.5911764923432345E-01 a       234     0     8     1    24
  7.1158915137623246E-01 a       235     0     8     1    25
  4.4115261540841610E-01 a       236     0     8     1    26
 -1.1713317560305885E-01 a       237     0     8     1    27
  3.4320629169547823E-01 a       238     0     8     1    28
  4.8476471333824173E-01 a       239     0     8     1    29
 -3.4869336098885145E-01 a       240     0     8     1    30
 -2.7903689429241479E-01 a       241     0     9     1     1
 -6.0445547350837325E-01 a       242     0     9     1     2
  1.0041471861400684E+00 a       243     0     9     1     3
  4.8897207067347548E-01 a       244     0     9     1     4
 -8.8692766077440754E-01 a       245     0     9     1     5
 -1.8814086914552480E-01 a       246     0     9     1     6
  6.0673188132875633E-01 a       247     0     9     1     7
  5.4374829380333989E-01 a       248     0     9     1     8
 -8.6000697930658065E-01 a       249     0     9     1     9
  8.6104007287205186E-01 a       250     0     9     1    10
  1.0593128704944626E-02 a       251     0     9     1    11
 -5.9910113013562238E-01 a       252     0     9     1    12
  3.4581675822114694E-01 a       253     0     9     1    13
 -6.2869876725172280E-01 a       254     0     9     1    14
 -4.1277492553550332E-01 a       255     0     9     1    15
 -5.9131864607457574E-01 a       256     0     9     1    16
  3.5788452551129224E-01 a       257     0     9     1    17
 -7.0073359941770108E-01 a       258     0     9     1    18
  9.3108727112956879E-01 a       259     0     9     1    19
  7.6316269307183049E-01 a       260     0     9     1    20
  1.8069466685668384E-01 a       261     0     9     1    21
 -7.9208617039313745E-01 a       262     0     9     1    22
 -6.7647057946149100E-02 a       263     0     9     1    23
 -3.7091982863878731E-01 a       264     0     9     1    24
  5.6848720504136174E-01 a       265     0     9     1    25
 -9.4718601420575621E-01 a       266     0     9     1    26
  6.0379871523905637E-01 a       267     0     9     1    27
 -6.1671842139983957E-01 a       268     0     9     1    28
 -5.3154363652095504E-01 a       269     0     9     1    29
  1.1133085409265957E+00 a       270     0     9     1    30
  7.2684129636000883E-01 a       271     0    10     1     1
  1.6632502567864513E-01 a       272     0    10     1     2
 -1.4669850434388596E+00 a       273     0    10     1     3
 -2.8393541694942159E-01 a       274     0    10     1     4
 -1.8281989730879928E-02 a       275     0    10     1     5
  7.1373130922867256E-01 a       276     0    10     1     6
 -1.2708204992431438E+00 a       277     0    10     1     7
 -1.7409292390533633E+00 a       278     0    10     1     8
  3.2271860739898539E-01 a       279     0    10     1     9
 -7.1111947401155715E-02 a       280     0    10     1    10
  6.2126840209690326E-01 a       281     0    10     1    11
  7.9509456545645651E-01 a       282     0    10     1    12
 -2.2610005441078004E-01 a       283     0    10     1    13
 -3.1472549337681405E-01 a       284     0    10     1    14
 -4.6469825765503536E-01 a       285     0    10     1    15
  5.0647529305197003E-01 a       286     0    10     1    16
 -5.5676704642436703E-01 a       287     0    10     1    17
  2.3762252096911199E-01 a       288     0    10     1    18
 -1.8219583919448228E+00 a       289     0    10     1    19
  3.1443327004561916E-01 a       290     0    10     1    20
  7.7442134762409518E-03 a       291     0    10     1    21
 -2.7114171255784281E-01 a       292     0    10     1    22
