################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5851921071361783E-01 a       170     0     6     1    20
 -2.2418054614513847E-01 a       171     0     6     1    21
  4.0730241237795445E-01 a       172     0     6     1    22
  5.3471475313698269E-01 a       173     0     6     1    23
 -1.1369844697603169E-01 a       174     0     6     1    24
  4.9802566289845424E-01 a       175     0     6     1    25
  6.4016905848454531E-01 a       176     0     6     1    26
  1.5473874732193874E-01 a       177     0     6     1    27
  5.3513450151780184E-01 a       178     0     6     1    28
 -1.8167642537390230E-01 a       179     0     6     1    29
  5.4881588179681938E-02 a       180     0     6     1    30
  9.4851024696439978E-03 a       181     0     7     1     1
 -3.1139190850636722E-01 a       182     0     7     1     2
  4.8380285418213910E-02 a       183     0     7     1     3
 -2.3995676542336769E-01 a       184     0     7     1     4
 -6.9309294860960324E-02 a       185     0     7     1     5
 -4.2208080597587835E-02 a       186     0     7     1     6
 -1.1937607756941625E-01 a       187     0     7     1     7
 -3.0022261873216483E-01 a       188     0     7     1     8
  3.3351883006353866E-01 a       189     0     7     1     9
  4.7303125248595385E-01 a       190     0     7     1    10
 -9.4144388270717597E-02 a       191     0     7     1    11
 -6.8926921105220487E-02 a       192     0     7     1    12
  1.7082352417141378E-01 a       193     0     7     1    13
  2.6528476524942994E-02 a       194     0     7     1    14
  1.0558470708227794E+00 a       195     0     7     1    15
  2.8959388144363812E-01 a       196     0     7     1    16
  4.9268330088270307E-02 a       197     0     7     1    17
 -3.2950605176474812E-01 a       198     0     7     1    18
  2.8042947174892963E-01 a       199     0     7     1    19
  3.0106327307025943E-01 a       200     0     7     1    20
  2.7558930655807051E-01 a       201     0     7     1    21
  5.6000660905470168E-01 a       202     0     7     1    22
  8.0216134597214706E-01 a       203     0     7     1    23
 -1.2755621868135492E-01 a       204     0     7     1    24
  3.1430914700138790E-01 a       205     0     7     1    25
  5.3293008626831395E-01 a       206     0     7     1    26
 -3.6614326835209862E-02 a       207     0     7     1    27
  4.0835263111126507E-02 a       208     0     7     1    28
 -4.5574568466429277E-01 a       209     0     7     1    29
  2.1581552064659637E-01 a       210     0     7     1    30
 -7.4425830886476696E-02 a       211     0     8     1     1
 -3.1153962314320394E-01 a       212     0     8     1     2
  6.9169393074595339E-02 a       213     0     8     1     3
 -2.5857488837655768E-01 a       214     0     8     1     4
  3.2276838066620056E-01 a       215     0     8     1     5
 -4.8148194909013446E-02 a       216     0     8     1     6
  6.8099781428429773E-01 a       217     0     8     1     7
  1.3663342654645697E-01 a       218     0     8     1     8
  9.0097373114108575E-03 a       219     0     8     1     9
  4.2602684687403067E-02 a       220     0     8     1    10
  4.6090672274190475E-02 a       221     0     8     1    11
  1.1546531889826997E-01 a       222     0     8     1    12
 -2.9625177161560834E-01 a       223     0     8     1    13
 -5.9430987320779805E-01 a       224     0     8     1    14
 -1.2266970565151036E-01 a       225     0     8     1    15
 -4.3132487567698152E-01 a       226     0     8     1    16
 -2.7309584145142485E-01 a       227     0     8     1    17
  5.5202935999205054E-02 a       228     0     8     1    18
 -4.1237219214793297E-01 a       229     0     8     1    19
 -2.4147883801045861E-01 a       230     0     8     1    20
  1.1861515132049705E-01 a       231     0     8     1    21
  2.3395510788332785E-01 a       232     0     8     1    22
  1.5160324624327456E-01 a       233     0     8     1    23
 -9.1651798497166009E-02 a       234     0     8     1    24
  1.2607055752393469E-02 a       235     0     8     1    25
 -1.4162884974799494E-01 a       236     0     8     1    26
  1.7002376473025652E-01 a       237     0     8     1    27
 -5.8116511788031622E-01 a       238     0     8     1    28
 -3.2621698953189858E-02 a       239     0     8     1    29
 -6.3562967721623287E-01 a       240     0     8     1    30
 -4.2786089494845975E-01 a       241     0     9     1     1
 -3.1961980932332285E-01 a       242     0     9     1     2
 -8.1605937045800825E-02 a       243     0     9     1     3
  5.1469549075784315E-01 a       244     0     9     1     4
  1.9755220004193610E-01 a       245     0     9     1     5
  2.7837472328272933E-01 a       246     0     9     1     6
  3.5855975274238550E-01 a       247     0     9     1     7
 -6.2280723783840329E-02 a       248     0     9     1     8
  3.3235573598328150E-01 a       249     0     9     1     9
