################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1625685830164692E-01 a       263     0    14     1     3
 -2.0038327834279870E-01 a       264     0    14     1     4
  4.5467394022983521E-01 a       265     0    14     1     5
  3.3454224344518357E-01 a       266     0    14     1     6
 -2.0451797384536827E-01 a       267     0    14     1     7
 -1.5006003778192190E-01 a       268     0    14     1     8
 -9.0949995436202552E-02 a       269     0    14     1     9
 -4.6019644720661229E-01 a       270     0    14     1    10
 -2.4088184723071057E-01 a       271     0    14     1    11
 -4.4309940733678588E-01 a       272     0    14     1    12
 -5.3665970476268299E-01 a       273     0    14     1    13
  5.9309814865451164E-02 a       274     0    14     1    14
  1.4796137531170225E-01 a       275     0    14     1    15
 -5.4326942423930691E-01 a       276     0    14     1    16
 -2.7316846901400393E-01 a       277     0    14     1    17
  4.9165402806334239E-02 a       278     0    14     1    18
  1.2215952985037334E-01 a       279     0    14     1    19
 -6.0048523467578933E-02 a       280     0    14     1    20
  5.5237006390716359E-01 a       281     0    15     1     1
  6.4411556106865303E-02 a       282     0    15     1     2
  9.3640159083690805E-02 a       283     0    15     1     3
 -6.6021352085692958E-02 a       284     0    15     1     4
  1.2854891466362336E-01 a       285     0    15     1     5
 -4.4307039785477106E-02 a       286     0    15     1     6
 -4.2217720443946916E-01 a       287     0    15     1     7
  1.5668380275886018E-01 a       288     0    15     1     8
 -3.3674076478327070E-01 a       289     0    15     1     9
  4.0526120396669724E-02 a       290     0    15     1    10
  6.6003049103553563E-02 a       291     0    15     1    11
  1.7251102243627822E-01 a       292     0    15     1    12
  2.7539761423555459E-01 a       293     0    15     1    13
 -6.4124662850836434E-01 a       294     0    15     1    14
 -1.7939012897594933E-01 a       295     0    15     1    15
  4.5750315021425181E-01 a       296     0    15     1    16
 -2.7829969009442540E-01 a       297     0    15     1    17
 -6.8334356782932357E-02 a       298     0    15     1    18
 -5.9704713837814349E-01 a       299     0    15     1    19
  6.4085464388170688E-01 a       300     0    15     1    20
  3.1904477892586819E-01 a       301     0    16     1     1
 -2.2682149657633738E-01 a       302     0    16     1     2
 -2.5648254631182643E-01 a       303     0    16     1     3
 -5.5740649259822233E-03 a       304     0    16     1     4
  2.6646114637910515E-02 a       305     0    16     1     5
  1.9638150326981585E-01 a       306     0    16     1     6
 -7.4872007143238206E-01 a       307     0    16     1     7
 -2.3565983347740846E-01 a       308     0    16     1     8
 -3.2810070433080846E-01 a       309     0    16     1     9
 -2.2008784543605725E-01 a       310     0    16     1    10
  2.6593639126084206E-01 a       311     0    16     1    11
 -2.0045002949024662E-01 a       312     0    16     1    12
 -4.6665788056777097E-01 a       313     0    16     1    13
 -3.2928488494004171E-01 a       314     0    16     1    14
 -2.8422165295081186E-01 a       315     0    16     1    15
 -3.3992458529139770E-02 a       316     0    16     1    16
  1.0186966174323064E-01 a       317     0    16     1    17
  2.2250207214381156E-02 a       318     0    16     1    18
  2.2035864629265142E-01 a       319     0    16     1    19
  4.8220963448300402E-01 a       320     0    16     1    20
 -6.4355214972750086E-01 a       321     0    17     1     1
 -1.7366686966872322E-01 a       322     0    17     1     2
  7.8635238204007793E-02 a       323     0    17     1     3
 -1.8308990423785262E-01 a       324     0    17     1     4
  1.1133886196391360E+00 a       325     0    17     1     5
  3.8583425275756400E-01 a       326     0    17     1     6
  1.6220367476318611E+00 a       327     0    17     1     7
  1.2300062281625199E-01 a       328     0    17     1     8
  5.0867633664467571E-01 a       329     0    17     1     9
  3.8922982624915214E-01 a       330     0    17     1    10
  1.7615532748182736E-01 a       331     0    17     1    11
 -7.0395071050356783E-01 a       332     0    17     1    12
 -6.8760900213409054E-02 a       333     0    17     1    13
 -3.3124599287455347E-01 a       334     0    17     1    14
  5.2470343165477396E-01 a       335     0    17     1    15
  6.0936465788204375E-01 a       336     0    17     1    16
  1.2612303530597443E-01 a       337     0    17     1    17
  2.9864672552327420E-01 a       338     0    17     1    18
 -2.1694865997566090E-01 a       339     0    17     1    19
 -3.8258693790749587E-01 a       340     0    17     1    20
 -2.2008739447430037E-01 a       341     0    18     1     1
  3.1426043502785539E-01 a       342     0    18     1     2
  3.2394696975841569E-01 a       343     0    18     1     3
  2.1175250483548771E-01 a       344     0    18     1     4
 -5.0065852448884218E-01 a       345     0    18     1     5
 -5.6254271160948555E-01 a       346     0    18     1     6
 -1.9740271912886168E-01 a       347     0    18     1     7
 -1.0585453971289026E-01 a       348     0    18     1     8
  2.1183014636124581E-01 a       349     0    18     1     9
  7.0589934875011320E-02 a       350     0    18     1    10
 -1.3657216102278172E-01 a       351     0    18     1    11
  4.4083468391788355E-01 a       352     0    18     1    12
  1.9767699155851284E-01 a       353     0    18     1    13
  1.4359968314487839E-01 a       354     0    18     1    14
  2.1273900492678036E-01 a       355     0    18     1    15
 -2.6666963226293211E-01 a       356     0    18     1    16
  1.1862319024515602E-01 a       357     0    18     1    17
 -7.0224352875807339E-01 a       358     0    18     1    18
 -1.8166397067190238E-01 a       359     0    18     1    19
  1.9254608524931793E-01 a       360     0    18     1    20
  8.3062837631392650E-01 a       361     0    19     1     1
  1.3796529426602566E-01 a       362     0    19     1     2
 -3.3131842945825890E-01 a       363     0    19     1     3
 -8.2739411236837604E-02 a       364     0    19     1     4
 -8.5495634457565095E-01 a       365     0    19     1     5
 -4.5957916975633678E-01 a       366     0    19     1     6
 -7.7426896888780383E-01 a       367     0    19     1     7
  4.9670698895035670E-02 a       368     0    19     1     8
 -5.1949608847741879E-01 a       369     0    19     1     9
 -2.2704695053151200E-01 a       370     0    19     1    10
 -3.2740669942998768E-01 a       371     0    19     1    11
  6.8314000006186781E-01 a       372     0    19     1    12
  4.7107688816280696E-01 a       373     0    19     1    13
  5.8721814841331166E-01 a       374     0    19     1    14
 -1.8991688639265414E-01 a       375     0    19     1    15
 -3.8555435104365286E-02 a       376     0    19     1    16
 -2.0763191406927878E-01 a       377     0    19     1    17
  3.3863929517155822E-01 a       378     0    19     1    18
  1.0709403101954684E-01 a       379     0    19     1    19
  1.9602148302581943E-01 a       380     0    19     1    20
 -3.9384622524938212E-01 a       381     0    20     1     1
  5.5836573869264261E-01 a       382     0    20     1     2
 -1.7693965488645383E-01 a       383     0    20     1     3
  6.7408125986321940E-02 a       384     0    20     1     4
 -4.1363500322676089E-01 a       385     0    20     1     5
 -3.7432574471121594E-01 a       386     0    20     1     6
  6.3125800731987725E-01 a       387     0    20     1     7
  1.4523730638676835E-01 a       388     0    20     1     8
 -1.4475845759301083E-02 a       389     0    20     1     9
 -2.1085304018014794E-02 a       390     0    20     1    10
 -3.4187170701828451E-01 a       391     0    20     1    11
  1.5225903593943935E-01 a       392     0    20     1    12
  1.6133411150523441E-01 a       393     0    20     1    13
 -1.4095013828581973E-01 a       394     0    20     1    14
  2.9054766704217827E-01 a       395     0    20     1    15
 -4.0775206104940515E-01 a       396     0    20     1    16
 -4.7805237445923210E-01 a       397     0    20     1    17
 -7.3724314562824667E-01 a       398     0    20     1    18
 -4.2962142378639129E-01 a       399     0    20     1    19
 -7.4252313394922220E-01 a       400     0    20     1    20
  3.7560965406982096E-02 a       401     0    21     1     1
 -1.6478641359046647E-01 a       402     0    21     1     2
  1.2937448411682881E-01 a       403     0    21     1     3
  6.6312300091719900E-02 a       404     0    21     1     4
 -1.4663418538128781E-01 a       405     0    21     1     5
 -4.4638466670782956E-01 a       406     0    21     1     6
 -3.7603184477352697E-01 a       407     0    21     1     7
  3.0103723679555583E-01 a       408     0    21     1     8
 -3.0014334655179864E-01 a       409     0    21     1     9
 -3.5719250018285265E-01 a       410     0    21     1    10
  3.0293434773308314E-01 a       411     0    21     1    11
 -6.1101611793817130E-02 a       412     0    21     1    12
  7.2833770876037013E-02 a       413     0    21     1    13
  2.8493481492629685E-01 a       414     0    21     1    14
 -4.4473074725266365E-01 a       415     0    21     1    15
  3.9144062053607417E-02 a       416     0    21     1    16
  8.2646833839478115E-02 a       417     0    21     1    17
  4.4622116573100989E-01 a       418     0    21     1    18
 -5.4187504274262367E-02 a       419     0    21     1    19
 -2.9239140494484761E-01 a       420     0    21     1    20
  3.6885421421882575E-01 a       421     0    22     1     1
  3.8994991253802125E-01 a       422     0    22     1     2
 -1.5986515010059155E-01 a       423     0    22     1     3
 -5.5461231420021595E-01 a       424     0    22     1     4
  7.3915681718302276E-02 a       425     0    22     1     5
  8.3280214522624810E-02 a       426     0    22     1     6
  4.6671369193643214E-01 a       427     0    22     1     7
  1.7364395951977388E-01 a       428     0    22     1     8
  1.5950322316222582E-01 a       429     0    22     1     9
 -2.3978802437644262E-02 a       430     0    22     1    10
 -2.3059781827687850E-01 a       431     0    22     1    11
 -1.6008819194382382E-02 a       432     0    22     1    12
  2.3527552979919400E-01 a       433     0    22     1    13
 -2.8363176298850423E-01 a       434     0    22     1    14
 -3.5077782111839800E-01 a       435     0    22     1    15
 -6.2348217306086717E-01 a       436     0    22     1    16
 -5.4679862797654487E-02 a       437     0    22     1    17
 -3.8915978107375637E-01 a       438     0    22     1    18
  7.3461769534592436E-01 a       439     0    22     1    19
 -3.4273098890729486E-01 a       440     0    22     1    20
 -3.2355910748063577E-01 a       441     0    23     1     1
 -3.9280539488150773E-01 a       442     0    23     1     2
  4.3130785914309078E-01 a       443     0    23     1     3
 -4.7821887832829413E-01 a       444     0    23     1     4
  8.1715351727246310E-01 a       445     0    23     1     5
  2.2143669668941648E-01 a       446     0    23     1     6
  4.1594928355380412E-01 a       447     0    23     1     7
 -5.5148935974501823E-01 a       448     0    23     1     8
  4.3124868176569020E-01 a       449     0    23     1     9
  7.6807626541812635E-01 a       450     0    23     1    10
  5.1117051449091171E-02 a       451     0    23     1    11
 -2.6353887933195208E-01 a       452     0    23     1    12
  1.0338055277310002E-01 a       453     0    23     1    13
 -1.6536999799974644E-01 a       454     0    23     1    14
 -5.2707430897933927E-01 a       455     0    23     1    15
  3.2068647933061939E-01 a       456     0    23     1    16
  3.7154738255712888E-01 a       457     0    23     1    17
  2.7381373111542578E-01 a       458     0    23     1    18
  1.9489951726811752E-01 a       459     0    23     1    19
  2.7468649985651343E-02 a       460     0    23     1    20
  4.1313639396571189E-01 a       461     0    24     1     1
 -1.3209186193573508E-01 a       462     0    24     1     2
 -1.9286125300950609E-02 a       463     0    24     1     3
 -3.8795133856599558E-02 a       464     0    24     1     4
 -5.7525582018850241E-01 a       465     0    24     1     5
  7.9759817378433906E-03 a       466     0    24     1     6
  1.4493410182948593E-01 a       467     0    24     1     7
 -5.5473325128434525E-01 a       468     0    24     1     8
  5.0030259819454603E-01 a       469     0    24     1     9
