################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         31   2.5313390675988723E-04   1.7862199298954527E-02   1.2771466001743192E-03   5.8238734039720691E-04
         1         32   2.5677359315265510E-03   4.8376554843703387E-02   9.3361486660211296E-03   1.8340969095353953E-03
         1         33   1.4913842354659244E-05   9.2102231117108541E-03   2.4549958391425011E-04   3.3493583144304144E-04
         1         34   2.2789681757533061E-03   3.8007957431681956E-02   8.3045016497610390E-03   1.5761165803293193E-03
         1         35   2.0060815865032733E-03   3.0940412478013275E-02   7.4245246361939335E-03   1.3989423090599229E-03
         1         36   1.3032336153739235E-03   7.8245956079540269E-02   9.0201949662255601E-03   4.4119346723339959E-03
         1         37   1.6269286262869567E-02   1.8525258168963626E-01   4.4324890894032055E-02   1.3232642922191149E-02
         1         38   9.4524748842348866E-05   3.8119295712137943E-02   3.4192375222390722E-03   2.3257304749970888E-03
         1         39   1.4685624576240642E-02   1.4512592132223401E-01   3.8723933450045565E-02   1.1092816103861966E-02
         1         40   1.2934077784573559E-02   1.1931557438147049E-01   3.4482631088505265E-02   9.7065066930856776E-03
         1         41   2.9594986380974818E-07   6.8654463334816562E-02   1.9968099786883835E-02   1.1098895482281712E-02
         1         42   4.7222074258663586E-05   1.2767329365033811E-01   3.7161914832377602E-02   2.0323811734733434E-02
         1         43   4.2336432545314657E-06   1.1047311873524868E-01   2.2073234063104057E-02   1.2976757647424843E-02
         1         44   3.0311614448117887E-02   5.4336500188274806E-01   1.9733154007996709E-01   7.3434896283564227E-02
         1         45   2.5643397170953381E-03   1.8338468294962235E-01   2.9649930068193130E-02   1.5224108598494145E-02
         1         46   4.5664874521218213E-07   5.3889373589104589E-02   1.0488208781531031E-02   6.0704387998082856E-03
